"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
8257, 3483.15382037182, 1655.94462725805, 6578.25976780126, 7318.16910330298, 93.4669862466191, 262.115462718899, 224.180327875437
8258, 2953.71390144626, 1403.31773041709, 6578.25976780126, 7318.16910330298, 79.5178263816172, 208.562386227028, 224.180327875437
8259, 2662.16708705994, 1265.71933102443, 6578.25976780126, 7318.16910330298, 72.8685941246055, 182.945919689368, 224.180327875437
8260, 2398.67384929673, 1142.22511486732, 6578.25976780126, 7318.16910330298, 67.4774209625914, 162.131758314472, 224.180327875437
8261, 2225.96662260797, 1061.74495169264, 6578.25976780126, 7318.16910330298, 64.2875799879087, 149.72026192117, 224.180327875437
8262, 2211.65454348771, 1055.16506061236, 6578.25976780126, 7318.16910330298, 64.0460667400436, 148.749170768816, 224.180327875437
8263, 2308.16643540053, 1100.14495642417, 6578.25976780126, 7318.16910330298, 65.795373158763, 155.5296000007, 224.180327875437
8264, 2467.04576440714, 1174.33984887136, 6578.25976780126, 7318.16910330298, 68.9163499939551, 167.395549776546, 224.180327875437
8265, 2475.42147288656, 1178.17406492723, 6578.25976780126, 7318.16910330298, 69.198016457989, 168.149764460698, 224.180327875437
8266, 2582.61587681826, 1228.37270337082, 6578.25976780126, 7318.16910330298, 71.5849163025844, 176.80447469597, 224.180327875437
8267, 2772.1446482661, 1317.50863028691, 6578.25976780126, 7318.16910330298, 75.6950587231327, 192.652750737976, 224.180327875437
8268, 3361.58840557108, 1597.38575969406, 6578.25976780126, 7318.16910330298, 90.4169525890667, 249.304566573064, 224.180327875437
8269, 4098.187459127, 1953.52702593093, 6578.25976780126, 7318.16910330298, 112.958572848927, 335.889725388839, 224.180327875437
8270, 4712.45233728361, 2255.85645523047, 6578.25976780126, 7318.16910330298, 135.412871034236, 421.734708296803, 224.180327875437
8271, 4998.61389999265, 2398.26017802872, 6578.25976780126, 7318.16910330298, 146.990683859014, 465.966095656234, 224.180327875437
8272, 5277.78838392208, 2538.51665788173, 6578.25976780126, 7318.16910330298, 158.79562446424, 511.597429594198, 224.180327875437
8273, 5622.30415338169, 2713.24668574975, 6578.25976780126, 7318.16910330298, 174.489747341524, 571.711042262118, 224.180327875437
8274, 5736.40887458331, 2771.30904645878, 6578.25976780126, 7318.16910330298, 180.041735839224, 592.677121125286, 224.180327875437
8275, 5889.81230691842, 2849.77678295139, 6578.25976780126, 7318.16910330298, 187.695923808679, 621.51957438001, 224.180327875437
8276, 5760.99045205626, 2783.93066408422, 6578.25976780126, 7318.16910330298, 181.396071018703, 597.453696895777, 224.180327875437
8277, 5477.00571016747, 2639.41330127082, 6578.25976780126, 7318.16910330298, 168.025038450611, 546.353166753893, 224.180327875437
8278, 5207.20834829398, 2503.10702629829, 6578.25976780126, 7318.16910330298, 155.989840428309, 500.312315465973, 224.180327875437
8279, 4882.67544746177, 2340.5823522983, 6578.25976780126, 7318.16910330298, 142.261535909344, 448.015453147452, 224.180327875437
8280, 4221.57117775578, 2013.78695019762, 6578.25976780126, 7318.16910330298, 117.046707671302, 352.127804081061, 224.180327875437
8281, 3560.06553873837, 1692.87392137581, 6578.25976780126, 7318.16910330298, 95.7749690037769, 270.758007128641, 224.180327875437
8282, 3036.38066831182, 1442.49897160252, 6578.25976780126, 7318.16910330298, 81.5835606429397, 216.38968283141, 224.180327875437
8283, 2636.2848574698, 1253.50997738367, 6578.25976780126, 7318.16910330298, 72.3262238527533, 180.818846194225, 224.180327875437
8284, 2328.79448612095, 1109.5709527332, 6578.25976780126, 7318.16910330298, 66.1594972108395, 157.002628969709, 224.180327875437
8285, 2190.58410491954, 1045.29822451284, 6578.25976780126, 7318.16910330298, 63.6701191215859, 147.307542682085, 224.180327875437
8286, 2078.65539956324, 993.35746542918, 6578.25976780126, 7318.16910330298, 61.7700459163899, 139.901487238259, 224.180327875437
8287, 2248.02014948628, 1072.16324017126, 6578.25976780126, 7318.16910330298, 64.7045299200453, 151.286729417056, 224.180327875437
8288, 2374.213454228, 1130.95446535544, 6578.25976780126, 7318.16910330298, 67.052633061011, 160.352715280567, 224.180327875437
8289, 2421.82483869814, 1153.15283060336, 6578.25976780126, 7318.16910330298, 68.0253742535254, 163.950720485208, 224.180327875437
